case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
203;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;4;4;4;4;4;4;3;4;3;3;4;3;4;4;3;4;3;2;4;3;4;5;3;2;2;4;4;5
398;validation;student;female;21-25;young;academic;student; ;3;4;3;4;5;3;3;4;5;4;4;5;3;3;4;3;5;3;3;6;2;4;4;4;4;3;5;2;2;4;;4
964;validation;company;female;36-45;old; ;working;employee;5;5;5;5;4;5;5;5;5;6;6;5;5;5;5;5;5;6;1;5;3;5;6;4;5;5;5;1;1;6;5;5
1 109;validation;daycare;female; ; ; ;working;manager;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;2;5;4;3;4;3;4;2;1;5;4;4
27;validation;daycare;female; ; ;academic;working;employee;5;5;5;6;6;6;5;5;5;5;4;6;5;5;6;5;5;5;1;6;;6;6;5;5;5;6;1;1;5;5;5
628;validation;daycare;female; ; ;collegevocational;working;employee;3;4;3;5;5;3;5;4;5;4;3;3;3;3;5;3;4;6;3;5;1;4;6;3;4;3;3;2;1;5;5;3
104;validation;student;female;16-20;young;collegevocational;student; ;3;4;4;4;4;4;5;3;4;4;4;4;3;3;4;3;3;3;3;5;2;3;4;3;4;3;4;2;2;3;4;4
1 167;validation;student;female;16-20;young;collegevocational;student; ;3;4;5;3;4;4;4;3;4;3;4;3;3;4;3;4;5;3;4;4;4;4;3;4;2;5;5;1;2;4;3;5
521;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;4;4;4;5;4;6;4;6;3;4;4;4;4;4;2;5;2;4;4;4;5;5;6;3;2;5;5;4
1 026;validation;daycare;female; ; ;academic;working;employee;5;5;5;5;5;5;5;6;5;5;5;5;5;4;5;5;5;4;3;4;1;5;6;5;5;5;5;1;2;5;5;5
76;validation;daycare;female; ; ;collegevocational;working;employee;6;5;6;5;5;5;5;5;6;6;4;5;4;5;6;5;6;6;1;6;1;6;6;6;6;5;6;1;1;5;6;5
1 178;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;5;3;4;4;5;5;3;4;4;3;4;2;3;4;2;5;1;4;5;3;4;4;5;2;1;4;4;4
972;validation;student;female;46-55;old;academic;working; ;4;4;4;5;5;4;5;5;4;5;5;5;4;4;5;4;5;4;3;5;2;5;5;4;5;4;5;2;1;5;4;5
527;validation;daycare;female; ; ;academic;working;manager;5;5;5;5;5;5;5;5;6;5;6;6;6;5;6;4;6;5;3;6;1;6;5;4;5;4;5;1;1;5;5;6
522;validation;daycare;female; ; ;collegevocational;working;employee;3;5;5;4;4;3;3;3;6;6;4;4;3;4;6;3;3;4;3;6;2;4;4;3;4;5;4;3;0;4;5;6
940;validation;student;female;26-30;young;academic;working; ;5;4;4;4;5;5;4;5;5;4;5;5;5;5;5;5;5;5;1;5;1;3;5;3;4;4;5;2;3;4;5;5
433;validation;daycare;female; ; ;academic;working;employee;3;5;3;3;5;5;6;5;4;5;5;5;3;4;5;5;6;6;4;6;3;3;4;3;3;3;4;1;3;3;3;4
559;validation;daycare;female; ; ;collegevocational;working;employee;5;6;6;5;5;4;5;5;5;4;5;5;4;5;5;5;5;6;1;6;1;5;5;4;5;4;4;1;0;4;5;5
496;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;4;4;5;5;5;5;5;4;5;4;4;5;4;5;5;2;5;2;4;5;4;5;4;5;2;1;5;5;4
1 183;validation;student;female;26-30;young;academic;student; ;5;5;5;5;6;6;6;5;3;6;5;5;5;5;6;5;6;6;2;6;3;4;6;5;6;5;3;1;1;6;3;5
1 090;validation;daycare;female; ; ; ;working;employee;4;5;4;4;4;4;5;4;4;4;3;3;3;3;4;3;5;3;3;5;3;3;3;3;4;4;5;2;2;3;4;4
933;validation;company;female;46-55;old; ;working;manager;4;4;4;4;4;4;5;4;4;4;4;4;3;3;5;;2;6;3;4;3;4;5;3;4;3;5;1;2;5;4;4
993;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;5;5;5;4;5;4;3;4;3;3;4;3;4;4;3;5;4;4;5;4;4;4;5;1;2;5;3;4
69;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;5;4;5;5;5;5;5;5;5;4;4;3;4;4;3;5;2;5;5;4;4;4;5;2;2;4;5;5
176;validation;student;female;26-30;young;academic;student; ;6;5;6;5;6;6;6;6;6;5;6;6;5;5;6;5;6;6;5;6;3;6;5;5;6;6;6;3;3;5;4;6
1 015;validation;daycare;female; ; ; ;working;employee;4;4;4;4;5;5;4;;4;4;5;5;4;4;5;5;5;6;3;4;3;4;5;4;;5;5;3;3;4;5;5
74;validation;daycare;female; ; ;collegevocational;working;employee;6;6;6;5;5;5;5;6;5;6;6;6;5;;6;5;6;6;;6;1;6;6;6;5;6;6;1;;6;6;6
436;validation;company;female;46-55;old; ;working;manager;5;5;5;4;6;5;5;5;5;5;4;4;3;4;5;4;4;5;3;5;3;5;4;4;4;4;5;1;2;4;5;5
708;validation;student;female;31-35;old;academic;student; ;4;4;3;4;4;4;4;3;4;3;4;3;3;3;3;4;3;3;3;4;2;5;4;3;4;3;4;3;2;3;3;3
151;validation;company;female;56-65;old; ;working;employee;6;5;5;5;5;4;5;5;5;6;6;5;5;5;6;2;5;6;1;6;1;5;6;4;5;5;6;1;1;5;5;5
1 098;validation;daycare;female; ; ;collegevocational;working;employee;5;5;6;5;5;5;5;5;5;6;5;4;3;4;6;4;5;5;1;5;2;5;5;5;5;4;6;2;0;6;5;5
1 084;validation;student;female;21-25;young;academic;student; ;4;3;3;5;3;2;6;4;4;4;3;5;2;3;4;4;2;4;4;3;4;5;4;3;5;2;4;4;4;4;3;3
858;validation;company;female;26-30;young; ;working;employee;4;5;4;5;5;5;5;6;4;5;4;4;3;1;5;4;6;5;2;6;1;6;6;4;6;4;4;1;1;5;5;6
698;validation;daycare;female; ; ;collegevocational;working;manager;;4;4;4;5;5;4;5;6;4;5;5;4;5;6;5;5;4;1;4;1;4;;4;;3;5;1;1;5;4;5
490;validation;company;female;31-35;old; ;working;employee;4;4;4;4;3;4;4;4;3;4;4;4;3;3;4;4;4;4;2;5;3;4;5;4;4;3;4;2;2;5;5;4
641;validation;student;female;26-30;young;academic;student; ;5;6;6;6;5;4;5;6;3;5;5;4;5;4;5;3;3;2;3;5;3;4;4;5;4;3;6;1;1;5;3;5
825;validation;daycare;female; ; ;collegevocational;working;manager;5;5;5;5;5;4;5;5;5;5;5;6;3;5;5;6;5;6;3;5;3;5;5;4;6;4;5;1;1;4;4;4
339;validation;student;female;26-30;young;academic;working; ;4;3;3;3;4;3;4;2;5;3;4;4;3;4;3;4;4;4;4;4;4;4;3;3;3;3;5;4;5;3;3;4
1 215;validation;student;female;26-30;young;academic;working; ;4;5;5;4;5;4;4;4;5;4;4;5;3;4;5;4;5;4;3;4;3;4;5;4;4;4;4;4;3;4;3;4
773;validation;company;female;36-45;old; ;working;employee;4;4;5;5;3;3;4;4;5;5;4;4;4;3;4;4;4;5;1;5;2;4;4;4;5;3;4;1;3;3;5;3
