Id      	Gender  	Age     	G1      	G2      	G3      	G4      	G5      	G6      	G7      	G8      	G9      	G10     	G11     	GamblF  	GFalla  	SensaS  	SuperS  	EconG   	PareG   	PeerG   	Nsymp   	P3prob  	P2prob  
     65	  2	 14.33333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 23	  9	 45	  1	  0	  0	  0	  0
     66	  2	 14.33333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 17	 18	 43	  0	  0	  0	  0	  0
     67	  2	 14.33333333	  1	  0	  0	  0	  1	  1	  1	  0	  2	  2	  0	  8	  5	 23	 17	 35	  1	  1	  1	  0	  0
     68	   	 14.41666667	  0	  0	  0	  0	  0	  0	  0	  0	  2	  2	  0	  4	  5	 18	 19	 44	  0	  0	  0	  0	  0
     69	  1	 14.41666667	  4	  3	  1	  0	  0	  1	  2	  0	  3	  0	  0	 14	  2	 23	 25	 40	  0	  1	  0	  2	  1
     70	  1	 14.41666667	  2	  1	  0	  3	  0	  3	  0	  2	  2	  1	  0	 14	  2	 15	 26	 27	  1	  0	  0	  0	  0
     71	  1	 14.41666667	  1	  3	  2	  3	  0	  0	  1	  0	  2	  2	  0	 14	  6	 21	 21	 39	  0	  1	  0	  0	  0
     72	  1	 14.41666667	  1	  0	  0	  0	  0	  0	  0	  0	  3	  1	  0	  5	  6	 17	 32	 36	  0	  1	  0	  0	  0
     73	  1	 14.41666667	  2	  0	  0	  0	  0	  1	  0	  0	  1	  1	  0	  5	  6	 24	 12	 40	  0	  1	  0	  0	  0
     74	  1	 14.41666667	  3	  3	  3	  3	  0	  3	  3	  3	  0	  0	  3	 24	  2	 36	  8	 29	  0	  1	  2	  1	  1
     75	  1	 14.41666667	  2	  1	  3	  3	  0	  1	  1	  2	  3	  1	  3	 20	  2	   	 12	 30	  0	  1	  5	  2	  1
     76	  1	 14.41666667	  4	  3	  2	  3	  0	  2	  1	  3	  4	  4	  4	 30	  6	 36	 31	 23	  0	  1	  2	  2	  1
     77	  1	 14.41666667	  3	  0	  0	  0	  0	  1	  0	  1	  2	  2	  0	  9	  2	 26	 21	 37	  1	  1	  3	  2	  1
     78	  2	 14.41666667	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  3	  5	 19	 26	 39	  0	  0	   	   	   
     79	  2	 14.41666667	  2	  1	  1	  0	  0	  1	  1	  0	  2	  0	  0	  8	  3	 28	 22	 29	  1	  0	  0	  0	  0
     80	  2	 14.41666667	  2	  0	  0	  0	  0	  1	  1	  0	  1	  0	  0	  5	  6	 26	   	 40	  0	  1	  0	  0	  0
     81	  2	 14.41666667	  1	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  6	 25	 28	 35	  0	  0	  0	  0	  0
     82	  2	 14.41666667	  1	  0	  0	  0	  0	  1	  0	  0	  2	  2	  0	  6	  6	 17	 13	 37	  1	  0	  0	  0	  0
     83	  2	 14.41666667	  0	  1	  0	  0	  0	  0	  1	  0	  1	  2	  0	  5	  6	 29	 19	 28	  1	  1	  0	  0	  0
     84	  2	 14.41666667	  2	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  3	  3	 21	 15	   	  0	  0	  1	  0	  0
